match_id,date,hero_id,won,team,duration_minutes,game_mode,kills,deaths,assists,kda,level,gold_per_min,xp_per_min,net_worth,last_hits,denies,hero_damage,tower_damage,hero_healing,lane_efficiency,teamfight_participation,item_0,item_1,item_2,item_3,item_4,item_5,hero_name
8616063874,2025-12-22 13:27,21,False,Radiant,43.9,22,9,6,4,2.17,23,467,696,17135,215,4,21105,780,0,0.6372271624898949,0.68421054,Magic Wand,Bracer,Manta Style,Diffusal Blade,Aghanim's Scepter,Power Treads,Windranger
8423376081,2025-08-19 13:20,52,True,Dire,49.6,22,9,15,14,1.53,23,462,603,13283,208,11,34455,472,0,0.0,0.0,Magic Wand,Kaya and Sange,Blink Dagger,Boots of Travel,Eul's Scepter of Divinity,Bottle,Leshrac
8423355186,2025-08-19 12:45,129,False,Dire,30.3,22,3,10,7,1.0,13,356,323,9581,111,8,8402,0,0,0.0,0.0,Soul Ring,Bracer,Blink Dagger,Phase Boots,Eul's Scepter of Divinity,Magic Wand,Mars
8423329992,2025-08-19 12:02,86,False,Radiant,33.8,22,2,15,10,0.8,14,267,332,6907,77,3,14970,0,337,0.0,0.0,Magic Wand,Tango,Blink Dagger,Arcane Boots,Void Stone,,Rubick
8421584898,2025-08-18 03:07,53,False,Dire,47.9,22,7,8,21,3.5,24,721,685,31416,492,10,42567,7595,947,0.0,0.0,Black King Bar,Monkey King Bar,Bloodthorn,Phase Boots,Shadow Blade,Maelstrom,Nature's Prophet
8416753154,2025-08-14 22:15,13,True,Radiant,35.9,22,9,6,24,5.5,21,532,680,16222,156,15,34746,5459,0,0.0,0.0,Magic Wand,Power Treads,Blink Dagger,Parasma,Bottle,Staff of Wizardry,Puck
8416685622,2025-08-14 21:30,7,True,Radiant,38.5,22,6,9,19,2.78,20,518,580,17289,201,3,20464,3218,0,0.0,0.0,Black King Bar,Arcane Boots,Blink Dagger,Tiara of Selemene,Aghanim's Scepter,,Earthshaker
8413060699,2025-08-12 02:48,7,True,Radiant,50.8,22,23,8,17,5.0,28,686,997,29502,307,10,61712,922,0,0.0,0.0,Black King Bar,Arcane Boots,Overwhelming Blink,Refresher Orb,Aghanim's Scepter,Linken's Sphere,Earthshaker
8410910973,2025-08-10 18:29,70,True,Dire,52.3,22,17,6,15,5.33,28,740,1057,33177,582,16,75044,7970,0,0.0,0.0,Black King Bar,Monkey King Bar,Swift Blink,Phase Boots,Abyssal Blade,Battle Fury,Ursa
8410076545,2025-08-10 03:22,8,False,Radiant,60.7,22,22,13,14,2.77,30,739,1223,35396,501,11,66189,8169,4177,0.0,0.0,Skull Basher,Butterfly,Swift Blink,Mjollnir,Manta Style,Power Treads,Juggernaut
